run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260510_094929,symbol,EURJPY,21,3,18,0.1429,-1080.1931,721.6046,1801.7977,0.4005,18,0.757784,0.666062,0.333938,33.966542,0.11004739,0.857143
bt_20260510_094929,symbol,EURUSD,21,5,16,0.2381,-312.9701,1288.6299,1601.6,0.8046,16,0.754874,0.78851,0.21149,31.881005,0.00071015,1.619048
bt_20260510_094929,symbol,GBPJPY,18,2,16,0.1111,-1208.2181,393.3807,1601.5988,0.2456,16,0.761565,0.683519,0.316481,42.818005,0.1100472,1.111111
bt_20260510_094929,symbol,GBPUSD,24,9,15,0.375,980.0127,2481.5127,1501.5,1.6527,15,0.769396,0.804123,0.195877,34.211416,0.00085265,1.666667
bt_20260510_094929,symbol,USDJPY,36,2,34,0.0556,-2760.0371,643.3666,3403.4037,0.189,34,0.744321,0.817532,0.182468,35.16401,0.09140053,2.0
bt_20260510_094929,symbol,XAUUSD,41,17,24,0.4146,2139.4,4541.7403,2402.3403,1.8905,24,0.764642,0.814471,0.185529,33.612789,3.58888444,1.804878
bt_20260510_094929,side,buy,145,35,110,0.2414,-1452.427,9558.5253,11010.9523,0.8681,110,0.758543,0.840699,0.159301,34.861061,1.03867563,2.0
bt_20260510_094929,side,sell,16,3,13,0.1875,-789.5787,511.7095,1301.2882,0.3932,13,0.75604,0.191963,0.808037,35.235708,0.25962102,-2.0
bt_20260510_094929,regime,BIAS_DOWN,16,3,13,0.1875,-789.5787,511.7095,1301.2882,0.3932,13,0.75604,0.191963,0.808037,35.235708,0.25962102,-2.0
bt_20260510_094929,regime,BIAS_UP,145,35,110,0.2414,-1452.427,9558.5253,11010.9523,0.8681,110,0.758543,0.840699,0.159301,34.861061,1.03867563,2.0
bt_20260510_094929,confidence_bin,0.60-0.65,20,5,15,0.25,-413.1363,1088.3551,1501.4914,0.7248,15,0.634754,0.778992,0.221008,32.127924,1.44669624,1.8
bt_20260510_094929,confidence_bin,0.65-0.70,26,5,21,0.1923,-941.4295,1160.5831,2102.0126,0.5521,21,0.676702,0.752066,0.247934,35.486127,0.53322433,1.692308
bt_20260510_094929,confidence_bin,0.70-0.75,42,15,27,0.3571,820.94,3523.644,2702.704,1.3037,27,0.721745,0.743782,0.256218,34.304799,1.16952633,1.52381
bt_20260510_094929,confidence_bin,0.75-0.80,24,4,20,0.1667,-733.9026,1268.1307,2002.0333,0.6334,20,0.77733,0.748899,0.251101,37.853562,0.65168769,1.5
bt_20260510_094929,confidence_bin,0.80-0.90,32,7,25,0.2188,-94.9401,2407.6231,2502.5632,0.9621,25,0.844027,0.775326,0.224674,34.010159,0.89796384,1.375
bt_20260510_094929,confidence_bin,0.90-1.00,17,2,15,0.1176,-879.5372,621.8988,1501.436,0.4142,15,0.930471,0.930377,0.069623,36.224433,1.08639362,2.0
bt_20260510_094929,hour,10,6,0,6,0.0,-600.5658,0,600.5658,0.0,6,0.741741,0.830811,0.169189,34.771262,1.75447027,2.0
bt_20260510_094929,hour,11,5,1,4,0.2,-267.7279,132.6698,400.3977,0.3313,4,0.678016,0.685693,0.314307,29.602897,0.13026046,1.2
bt_20260510_094929,hour,12,12,5,7,0.4167,857.0456,1557.7635,700.7179,2.2231,7,0.758256,0.780223,0.219777,35.683432,2.42061432,1.333333
bt_20260510_094929,hour,13,10,2,8,0.2,-65.4561,735.3424,800.7985,0.9183,8,0.778286,0.762781,0.237219,28.283603,0.06882306,1.2
bt_20260510_094929,hour,14,13,2,11,0.1538,-432.512,668.6107,1101.1227,0.6072,11,0.779153,0.843299,0.156701,36.531608,0.75089577,2.0
bt_20260510_094929,hour,15,12,4,8,0.3333,-8.9576,791.8356,800.7932,0.9888,8,0.731285,0.779205,0.220795,36.547677,0.6571508,1.666667
bt_20260510_094929,hour,16,26,7,19,0.2692,33.7147,1935.5202,1901.8055,1.0177,19,0.752074,0.795645,0.204355,35.058263,1.03756517,1.846154
bt_20260510_094929,hour,17,16,3,13,0.1875,-591.9011,709.4003,1301.3014,0.5451,13,0.749967,0.654671,0.345329,40.549654,0.08327881,1.0
bt_20260510_094929,hour,7,30,6,24,0.2,-813.3929,1589.0558,2402.4487,0.6614,24,0.797467,0.799618,0.200382,31.402216,1.55506123,1.6
bt_20260510_094929,hour,8,19,4,15,0.2105,-648.1839,853.2955,1501.4794,0.5683,15,0.743373,0.744558,0.255442,36.142954,0.2015232,1.578947
bt_20260510_094929,hour,9,12,4,8,0.3333,295.9313,1096.741,800.8097,1.3695,8,0.738085,0.829915,0.170085,37.364252,1.45089903,2.0
bt_20260510_094929,session,london,72,15,57,0.2083,-2033.9392,3671.7621,5705.7013,0.6435,57,0.760356,0.784826,0.215174,33.802718,1.09819014,1.666667
