run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260501_094729,symbol,AUDUSD,91,22,69,0.2418,-824.8006,6082.0994,6906.9,0.8806,69,0.739359,0.397586,0.602414,34.684002,0.00078936,-0.021978
bt_20260501_094729,symbol,EURGBP,7,1,6,0.1429,-315.0249,285.5751,600.6,0.4755,6,0.710896,0.238508,0.761492,28.651376,0.00082227,-1.714286
bt_20260501_094729,symbol,EURJPY,77,18,59,0.2338,-1157.3834,4748.5177,5905.9011,0.804,59,0.723152,0.245783,0.754217,31.198579,0.19050707,-0.623377
bt_20260501_094729,symbol,EURUSD,35,4,31,0.1143,-2102.1189,1000.9811,3103.1,0.3226,31,0.729776,0.263846,0.736154,31.571722,0.00121369,-0.342857
bt_20260501_094729,symbol,GBPJPY,98,26,72,0.2653,-811.4763,6395.7258,7207.2021,0.8874,72,0.718932,0.228312,0.771688,30.682211,0.26044984,-0.734694
bt_20260501_094729,symbol,GBPUSD,53,10,43,0.1887,-1630.8191,2673.4809,4304.3,0.6211,43,0.744511,0.325991,0.674009,31.90611,0.00156271,-0.679245
bt_20260501_094729,symbol,NZDUSD,38,8,30,0.2105,-649.6568,2353.3432,3003.0,0.7837,30,0.745327,0.345274,0.654726,34.147674,0.00073052,-0.684211
bt_20260501_094729,symbol,USDCAD,47,8,39,0.1702,-1742.4371,2161.4629,3903.9,0.5537,39,0.715105,0.19688,0.80312,32.120359,0.00152889,-0.212766
bt_20260501_094729,symbol,USDCHF,38,13,25,0.3421,1032.4414,3534.9414,2502.5,1.4126,25,0.735106,0.264282,0.735718,28.724558,0.00116251,-0.526316
bt_20260501_094729,symbol,USDJPY,40,21,19,0.525,3246.0936,5147.9918,1901.8982,2.7068,19,0.71995,0.245541,0.754459,32.714076,0.18126864,-1.65
bt_20260501_094729,symbol,XAUUSD,128,34,94,0.2656,-1286.3045,8123.1978,9409.5023,0.8633,94,0.733109,0.275115,0.724885,31.091548,3.91729688,-0.21875
bt_20260501_094729,side,buy,67,20,47,0.2985,1881.1119,6585.6962,4704.5843,1.3998,47,0.808128,0.86546,0.13454,34.865413,0.98568033,0.507463
bt_20260501_094729,side,sell,585,145,440,0.2479,-8122.5985,35921.6209,44044.2194,0.8156,440,0.720949,0.213896,0.786104,31.47536,0.82592133,-0.625641
