run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260510_143354,symbol,EURJPY,18,6,12,0.3333,14.0934,1215.2913,1201.1979,1.0117,12,0.76088,0.763265,0.236735,35.254684,0.11239253,1.333333
bt_20260510_143354,symbol,EURUSD,21,6,15,0.2857,41.3503,1542.8503,1501.5,1.0275,15,0.760368,0.770113,0.229887,31.890097,0.00074745,1.619048
bt_20260510_143354,symbol,GBPJPY,19,5,14,0.2632,-331.2475,1070.1531,1401.4006,0.7636,14,0.75271,0.71282,0.28718,45.297998,0.11109144,1.157895
bt_20260510_143354,symbol,GBPUSD,23,9,14,0.3913,1006.5076,2407.9076,1401.4,1.7182,14,0.756541,0.846319,0.153681,32.433313,0.00080363,2.0
bt_20260510_143354,symbol,USDJPY,38,4,34,0.1053,-2386.1655,1017.2401,3403.4056,0.2989,34,0.733028,0.818899,0.181101,35.492978,0.08952785,2.0
bt_20260510_143354,symbol,XAUUSD,40,17,23,0.425,2149.8108,4452.0646,2302.2538,1.9338,23,0.742457,0.799252,0.200748,31.815667,3.65994048,1.8
bt_20260510_143354,side,buy,148,44,104,0.2973,769.9307,11180.2997,10410.369,1.074,104,0.748637,0.836828,0.163172,34.953467,1.01502606,2.0
bt_20260510_143354,side,sell,11,3,8,0.2727,-275.5816,525.2073,800.7889,0.6559,8,0.738237,0.196156,0.803844,32.650113,0.34034578,-2.0
bt_20260510_143354,regime,BIAS_DOWN,11,3,8,0.2727,-275.5816,525.2073,800.7889,0.6559,8,0.738237,0.196156,0.803844,32.650113,0.34034578,-2.0
bt_20260510_143354,regime,BIAS_UP,148,44,104,0.2973,769.9307,11180.2997,10410.369,1.074,104,0.748637,0.836828,0.163172,34.953467,1.01502606,2.0
bt_20260510_143354,confidence_bin,0.60-0.65,19,10,9,0.5263,1216.3667,2117.2252,900.8585,2.3502,9,0.630523,0.805754,0.194246,34.858358,1.53016706,1.789474
bt_20260510_143354,confidence_bin,0.65-0.70,36,10,26,0.2778,-191.0912,2411.4729,2602.5641,0.9266,26,0.674211,0.752845,0.247155,31.964081,0.98573074,1.666667
bt_20260510_143354,confidence_bin,0.70-0.75,32,10,22,0.3125,270.9001,2473.0827,2202.1826,1.123,22,0.723877,0.782505,0.217495,38.491581,0.84975413,1.75
bt_20260510_143354,confidence_bin,0.75-0.80,30,9,21,0.3,222.1585,2324.3088,2102.1503,1.1057,21,0.772758,0.782222,0.217778,31.592477,1.02810107,1.733333
bt_20260510_143354,confidence_bin,0.80-0.90,33,8,25,0.2424,-123.0988,2379.4174,2502.5162,0.9508,25,0.848834,0.811505,0.188495,35.661114,0.81285087,1.636364
bt_20260510_143354,confidence_bin,0.90-1.00,9,0,9,0.0,-900.8862,0,900.8862,0.0,9,0.923222,0.92334,0.07666,40.325218,0.50543739,2.0
bt_20260510_143354,hour,10,6,0,6,0.0,-600.603,0,600.603,0.0,6,0.745256,0.790853,0.209147,38.461095,1.01225173,2.0
bt_20260510_143354,hour,11,4,1,3,0.25,-161.6568,138.6162,300.273,0.4616,3,0.687981,0.670654,0.329346,29.241008,1.24788178,1.0
bt_20260510_143354,hour,12,10,5,5,0.5,840.1865,1340.705,500.5185,2.6786,5,0.756951,0.747803,0.252197,35.403998,2.1407696,1.2
bt_20260510_143354,hour,13,7,3,4,0.4286,591.169,991.5699,400.4009,2.4764,4,0.744555,0.890555,0.109445,36.621769,1.16334768,2.0
bt_20260510_143354,hour,14,12,2,10,0.1667,-582.9355,418.057,1000.9925,0.4176,10,0.783005,0.843913,0.156087,35.458982,0.25990202,2.0
bt_20260510_143354,hour,15,11,5,6,0.4545,553.3953,1153.988,600.5927,1.9214,6,0.726869,0.800959,0.199041,34.473437,0.5597915,2.0
bt_20260510_143354,hour,16,23,7,16,0.3043,414.7508,2016.3339,1601.5831,1.259,16,0.748934,0.811757,0.188243,31.38441,0.80920908,2.0
bt_20260510_143354,hour,17,22,8,14,0.3636,319.0924,1720.4928,1401.4004,1.2277,14,0.728338,0.762679,0.237321,40.507684,0.08358729,1.454545
