run_id,timestamp,exit_timestamp,trader,symbol,side,size,entry,stop_loss,take_profit,rr_ratio,confidence,pnl,commission,exit_reason,source,source_split,bt_start,bt_end,split_summary_hash,correlation_id
bt_20260511_095603,2021-10-15T06:45:00+00:00,2021-10-18T01:00:00+00:00,ml_trader,GBPJPY,buy,397.55,157.181424,156.929882,157.899828,2.86,0.777,-100.2007,0.1001,sl_full,backtest_round_1,train_tail,2021-08-05,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_095603_000000
bt_20260511_095603,2022-04-19T08:45:00+00:00,2022-04-19T23:00:00+00:00,ml_trader,USDJPY,buy,416.97,128.486691,128.246867,129.27811,3.3,0.83,166.7538,0.1669,be_or_trail,backtest_round_1,train_tail,2021-08-05,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_095603_000001
bt_20260511_095603,2022-04-19T12:15:00+00:00,2022-04-19T22:15:00+00:00,ml_trader,USDJPY,buy,396.4,128.792752,128.540483,129.394918,2.39,0.688,121.0888,0.1212,be_or_trail,backtest_round_1,train_tail,2021-08-05,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_095603_000002
bt_20260511_095603,2022-06-08T06:30:00+00:00,2022-06-08T10:15:00+00:00,ml_trader,USDJPY,buy,488.76,133.996795,133.792194,134.815201,4.0,0.917,-100.2011,0.1001,sl_full,backtest_round_1,train_tail,2021-08-05,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_095603_000003
bt_20260511_102714,2024-07-24T03:45:00+00:00,2024-07-24T04:30:00+00:00,ml_trader,EURJPY,sell,236.57,167.359527,167.782241,166.376716,2.33,0.671,-100.2017,0.1001,sl_full,backtest_round_2,test,2023-08-07,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_102714_000000
bt_20260511_102714,2024-11-22T04:00:00+00:00,2024-11-22T04:15:00+00:00,ml_trader,GBPUSD,sell,35521.42,1.25012,1.252935,1.241139,3.19,0.819,-100.2001,0.1001,sl_full,backtest_round_2,test,2023-08-07,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_102714_000001
bt_20260511_102714,2025-04-21T07:30:00+00:00,2025-04-21T08:30:00+00:00,ml_trader,USDJPY,sell,425.88,140.760844,140.995651,140.184627,2.45,0.707,-100.1998,0.1001,sl_full,backtest_round_2,test,2023-08-07,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_102714_000002
bt_20260511_102714,2025-04-21T07:45:00+00:00,2025-04-21T08:30:00+00:00,ml_trader,USDJPY,sell,456.92,140.762842,140.981697,140.258602,2.3,0.665,-100.199,0.1001,sl_full,backtest_round_2,test,2023-08-07,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_102714_000003
bt_20260511_105759,2022-09-07T18:15:00+00:00,2022-09-07T21:00:00+00:00,ml_trader,EURJPY,buy,557.87,144.145828,143.966573,144.665666,2.9,0.784,-100.2009,0.1001,sl_full,backtest_round_3,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_105759_000000
bt_20260511_105759,2024-07-24T03:45:00+00:00,2024-07-24T04:30:00+00:00,ml_trader,EURJPY,sell,236.57,167.359527,167.782241,166.329794,2.44,0.702,-100.2017,0.1001,sl_full,backtest_round_3,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_105759_000001
bt_20260511_105759,2025-04-21T07:30:00+00:00,2025-04-21T08:30:00+00:00,ml_trader,USDJPY,sell,425.88,140.760844,140.995651,140.164903,2.54,0.726,-100.1998,0.1001,sl_full,backtest_round_3,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_105759_000002
bt_20260511_105759,2025-04-21T07:45:00+00:00,2025-04-21T08:30:00+00:00,ml_trader,USDJPY,sell,456.92,140.762842,140.981697,140.174124,2.69,0.75,-100.199,0.1001,sl_full,backtest_round_3,combined_eval,2022-08-05,2025-08-05,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260511_105759_000003
