run_id,source_split,timestamp,exit_timestamp,symbol,side,directional_group,regime,confidence,confidence_bin,session_hour,session,p_bull,p_bull_bin,p_bear,p_bear_bin,adx,adx_bin,atr,atr_entry_pct,atr_entry_pct_bin,ema_stack,same_timestamp_entries,same_timestamp_group_entries,pm_open_positions_seen,exit_reason,pnl,realized_rr
bt_20260511_143554,test,2023-08-22T02:00:00+00:00,2023-08-22T02:45:00+00:00,GBPJPY,buy,gbp_cross_buy,BIAS_NEUTRAL,0.77,0.75-0.80,2,asian,0.76953125,0.75-0.80,0.23046875,<0.50,22.230976104736328,20-30,0.08966191112995148,0.00048041232370735193,<0.05%,2,1,1,0,sl_full,-100.1,-1.00099999998999
bt_20260511_143554,test,2023-08-22T17:00:00+00:00,2023-08-23T01:45:00+00:00,EURJPY,sell,eur_cross_sell,BIAS_NEUTRAL,0.681,0.65-0.70,17,ny,0.319091796875,<0.50,0.680908203125,0.65-0.70,21.577926635742188,20-30,0.0640399232506752,0.00040504069608057004,<0.05%,-2,1,1,0,sl_full,-100.0999,-1.00099999998999
bt_20260511_143554,test,2023-08-24T19:00:00+00:00,2023-08-24T20:00:00+00:00,EURUSD,sell,usd_short_sell,BIAS_NEUTRAL,0.729,0.70-0.75,19,off_session,0.271240234375,<0.50,0.728759765625,0.70-0.75,28.09041976928711,20-30,0.0004478750051930547,0.00041490115110975775,<0.05%,-2,1,1,0,sl_full,-100.1,-1.00099999998999
bt_20260511_143554,test,2023-08-30T12:30:00+00:00,2023-08-30T21:45:00+00:00,EURJPY,buy,eur_cross_buy,BIAS_NEUTRAL,0.75,0.75-0.80,12,off_session,0.74951171875,0.70-0.75,0.25048828125,<0.50,22.72804832458496,20-30,0.10489163547754288,0.0006571378474815475,0.05-0.10%,2,1,1,0,sl_full,-100.1004,-1.00099999998999
bt_20260511_143554,test,2023-09-04T18:45:00+00:00,2023-09-05T01:30:00+00:00,USDJPY,buy,usd_long_buy,BIAS_NEUTRAL,0.711,0.70-0.75,18,off_session,0.7109375,0.70-0.75,0.2890625,<0.50,33.21031951904297,30-40,0.03532925248146057,0.00024108240306375457,<0.05%,2,1,1,0,be_or_trail,262.692,2.6269258908122968
bt_20260511_143554,test,2023-09-26T05:00:00+00:00,2023-09-26T08:15:00+00:00,USDJPY,buy,usd_long_buy,BIAS_NEUTRAL,0.75,0.75-0.80,5,asian,0.75,0.75-0.80,0.25,<0.50,32.17178726196289,30-40,0.09925989806652069,0.0006662552566427194,0.05-0.10%,2,1,1,0,sl_full,-100.1002,-1.00099999998999
bt_20260511_143554,test,2023-09-26T05:15:00+00:00,2023-09-26T08:00:00+00:00,USDJPY,buy,usd_long_buy,BIAS_NEUTRAL,0.6776072136519083,0.65-0.70,5,asian,0.763671875,0.75-0.80,0.236328125,<0.50,28.714937210083008,20-30,0.09215857833623886,0.0006186019851767419,0.05-0.10%,2,1,1,1,sl_full,-100.1,-1.00099999998999
bt_20260511_143554,test,2023-09-26T08:30:00+00:00,2023-09-27T09:30:00+00:00,XAUUSD,sell,risk_off_sell,BIAS_NEUTRAL,0.878,0.80-0.90,8,london,0.12200927734375,<0.50,0.87799072265625,0.80-0.90,33.85222625732422,30-40,2.09162974357605,0.0010962458391074559,0.10-0.20%,-2,1,1,0,be_or_trail,397.4381,3.973676848641446
bt_20260511_143554,test,2023-10-04T02:15:00+00:00,2023-10-04T04:30:00+00:00,GBPJPY,sell,gbp_cross_sell,BIAS_NEUTRAL,0.763,0.75-0.80,2,asian,0.2374267578125,<0.50,0.7625732421875,0.75-0.80,29.503393173217773,20-30,0.11158819496631622,0.0006202582843427042,0.05-0.10%,-2,1,1,0,sl_full,-100.0994,-1.00099999998999
bt_20260511_143554,test,2023-10-13T05:45:00+00:00,2023-10-13T08:30:00+00:00,EURUSD,sell,usd_short_sell,BIAS_NEUTRAL,0.767,0.75-0.80,5,asian,0.2327880859375,<0.50,0.7672119140625,0.75-0.80,36.982975006103516,30-40,0.0007378915906883776,0.0007009321398844125,0.05-0.10%,-2,1,1,0,sl_full,-100.1,-1.0009999999899901
bt_20260511_143554,test,2023-10-13T09:30:00+00:00,2023-10-13T13:15:00+00:00,USDJPY,buy,usd_long_buy,BIAS_NEUTRAL,0.76,0.75-0.80,9,london,0.76025390625,0.75-0.80,0.23974609375,<0.50,34.38751983642578,30-40,0.07488089799880981,0.0005003035358789588,0.05-0.10%,0,1,1,0,sl_full,-100.1,-1.00099999998999
bt_20260511_143554,test,2023-10-23T10:00:00+00:00,2023-10-24T03:00:00+00:00,GBPJPY,buy,gbp_cross_buy,BIAS_NEUTRAL,0.706,0.70-0.75,10,london,0.70556640625,0.70-0.75,0.29443359375,<0.50,18.967836380004883,<20,0.18466515839099884,0.0010100068194120778,0.10-0.20%,2,1,1,0,be_or_trail,216.9126,2.169130952150375
