run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260510_234007,symbol,EURJPY,27,5,22,0.1852,-827.4999,1374.7046,2202.2045,0.6242,22,0.741996,0.84214,0.15786,38.786536,0.12624434,2.0
bt_20260510_234007,symbol,EURUSD,21,5,16,0.2381,-515.7638,1085.8362,1601.6,0.678,16,0.779881,0.790306,0.209694,29.943795,0.00080778,1.619048
bt_20260510_234007,symbol,GBPJPY,17,6,11,0.3529,363.9505,1465.048,1101.0975,1.3305,11,0.737856,0.822984,0.177016,37.476305,0.11973719,2.0
bt_20260510_234007,symbol,GBPUSD,24,7,17,0.2917,472.9218,2174.6218,1701.7,1.2779,17,0.76993,0.773529,0.226471,33.65596,0.00105215,1.5
bt_20260510_234007,symbol,USDJPY,31,8,23,0.2581,95.3862,2397.6909,2302.3047,1.0414,23,0.749462,0.701625,0.298375,39.391532,0.11906854,1.354839
bt_20260510_234007,symbol,XAUUSD,37,14,23,0.3784,1525.7731,3827.989,2302.2159,1.6627,23,0.759762,0.850164,0.149836,31.500708,3.61411495,2.0
bt_20260510_234007,side,buy,147,42,105,0.2857,909.1461,11419.5706,10510.4245,1.0865,105,0.754393,0.841777,0.158223,35.364011,0.9672089,2.0
bt_20260510_234007,side,sell,10,3,7,0.3,205.6218,906.3199,700.6981,1.2935,7,0.788208,0.135486,0.864514,30.905043,0.07200145,-2.0
bt_20260510_234007,regime,BIAS_DOWN,10,3,7,0.3,205.6218,906.3199,700.6981,1.2935,7,0.788208,0.135486,0.864514,30.905043,0.07200145,-2.0
bt_20260510_234007,regime,BIAS_UP,147,42,105,0.2857,909.1461,11419.5706,10510.4245,1.0865,105,0.754393,0.841777,0.158223,35.364011,0.9672089,2.0
