run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260511_175848,symbol,EURJPY,24,4,20,0.1667,-919.7216,1082.2785,2002.0001,0.5406,20,0.792135,0.497531,0.502469,28.57522,0.12210664,0.416667
bt_20260511_175848,symbol,EURUSD,14,3,11,0.2143,-241.8857,859.2143,1101.1,0.7803,11,0.813929,0.452475,0.547525,29.581864,0.00087853,-0.142857
bt_20260511_175848,symbol,GBPJPY,25,6,19,0.24,-448.7932,1453.1005,1901.8937,0.764,19,0.791678,0.524614,0.475386,31.437146,0.1952316,0.24
bt_20260511_175848,symbol,GBPUSD,16,2,14,0.125,-1140.1934,261.2066,1401.4,0.1864,14,0.785588,0.417503,0.582497,31.557208,0.00104019,-0.5
bt_20260511_175848,symbol,USDJPY,29,7,22,0.2414,-364.5822,1837.6151,2202.1973,0.8344,22,0.768835,0.595347,0.404653,28.729451,0.10582592,0.758621
bt_20260511_175848,symbol,XAUUSD,7,3,4,0.4286,456.8147,857.1914,400.3767,2.141,4,0.780068,0.521763,0.478237,27.886721,2.68935393,0.285714
bt_20260511_175848,side,buy,64,12,52,0.1875,-2089.8855,3115.2796,5205.1651,0.5985,52,0.774394,0.782509,0.217491,30.707531,0.29244735,1.34375
bt_20260511_175848,side,sell,51,13,38,0.2549,-568.4759,3235.3268,3803.8027,0.8506,38,0.803197,0.17466,0.82534,28.507344,0.21604099,-1.098039
bt_20260511_175848,regime,BIAS_DOWN,6,1,5,0.1667,-379.9661,120.5344,500.5005,0.2408,5,0.827381,0.13916,0.86084,29.784453,0.05862153,-2.0
bt_20260511_175848,regime,BIAS_NEUTRAL,95,21,74,0.2211,-1807.9209,5599.4474,7407.3683,0.7559,74,0.786384,0.49691,0.50309,29.559319,0.29179023,0.147368
bt_20260511_175848,regime,BIAS_UP,14,3,11,0.2143,-470.4744,630.6246,1101.099,0.5727,11,0.775249,0.781913,0.218087,30.879605,0.11877999,2.0
bt_20260511_175848,confidence_bin,0.60-0.65,3,1,2,0.3333,83.2647,283.4644,200.1997,1.4159,2,0.629714,0.709798,0.290202,29.68888,0.08772274,2.0
bt_20260511_175848,confidence_bin,0.65-0.70,13,5,8,0.3846,73.1583,873.956,800.7977,1.0914,8,0.671413,0.474328,0.525672,31.004468,0.55390227,-0.153846
bt_20260511_175848,confidence_bin,0.70-0.75,20,3,17,0.15,-885.6415,816.0542,1701.6957,0.4796,17,0.727717,0.619775,0.380225,26.838595,0.13304245,0.5
bt_20260511_175848,confidence_bin,0.75-0.80,23,6,17,0.2609,-187.8735,1513.8263,1701.6998,0.8896,17,0.774457,0.53091,0.46909,31.016682,0.18545403,0.782609
bt_20260511_175848,confidence_bin,0.80-0.90,51,10,41,0.1961,-1240.7678,2863.3055,4104.0733,0.6977,41,0.842664,0.470879,0.529121,29.894828,0.29199697,0.039216
bt_20260511_175848,confidence_bin,0.90-1.00,5,0,5,0.0,-500.5016,0,500.5016,0.0,5,0.9128,0.414258,0.585742,30.447985,0.09053722,-0.8
bt_20260511_175848,hour,10,10,2,8,0.2,-130.4875,670.3107,800.7982,0.8371,8,0.785285,0.44635,0.55365,29.186007,0.13738988,-0.2
bt_20260511_175848,hour,11,5,2,3,0.4,317.4316,617.7069,300.2753,2.0571,3,0.8452,0.84502,0.15498,35.698514,0.94225356,1.2
bt_20260511_175848,hour,12,5,0,5,0.0,-500.5002,0,500.5002,0.0,5,0.771497,0.648438,0.351562,32.803386,0.14001114,1.2
bt_20260511_175848,hour,13,3,0,3,0.0,-300.3005,0,300.3005,0.0,3,0.869333,0.408549,0.591451,30.109851,0.06719733,0.666667
bt_20260511_175848,hour,14,6,3,3,0.5,353.1093,653.4065,300.2972,2.1759,3,0.770203,0.593201,0.406799,21.049894,0.44744006,0.666667
