run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260509_235421,symbol,EURJPY,43,6,37,0.1395,-1872.7537,1830.9471,3703.7008,0.4944,37,0.708808,0.622033,0.377967,33.547595,0.13610497,0.883721
bt_20260509_235421,symbol,EURUSD,28,16,12,0.5714,2773.5169,3974.7169,1201.2,3.309,12,0.691276,0.326425,0.673575,36.91368,0.00098591,-1.5
bt_20260509_235421,symbol,GBPJPY,38,8,30,0.2105,-1372.1432,1630.8573,3003.0005,0.5431,30,0.707811,0.674435,0.325565,33.679954,0.14276565,1.368421
bt_20260509_235421,symbol,GBPUSD,24,7,17,0.2917,-102.5392,1599.1608,1701.7,0.9397,17,0.693748,0.462036,0.537964,33.926798,0.0011494,-0.333333
bt_20260509_235421,symbol,USDJPY,40,12,28,0.3,240.5568,3043.3508,2802.794,1.0858,28,0.695936,0.705267,0.294733,34.681757,0.10022918,1.7
bt_20260509_235421,symbol,XAUUSD,23,5,18,0.2174,-546.0331,1255.7078,1801.7409,0.6969,18,0.695296,0.353946,0.646054,34.490811,2.50885565,-1.130435
bt_20260509_235421,side,buy,118,30,88,0.2542,-1591.2705,7217.5189,8808.7894,0.8194,88,0.703875,0.746561,0.253439,35.080253,0.17659023,2.0
bt_20260509_235421,side,sell,78,24,54,0.3077,711.875,6117.2218,5405.3468,1.1317,54,0.694273,0.267461,0.732539,33.478207,0.66933333,-1.974359
bt_20260509_235421,regime,BIAS_DOWN,78,24,54,0.3077,711.875,6117.2218,5405.3468,1.1317,54,0.694273,0.267461,0.732539,33.478207,0.66933333,-1.974359
bt_20260509_235421,regime,BIAS_UP,118,30,88,0.2542,-1591.2705,7217.5189,8808.7894,0.8194,88,0.703875,0.746561,0.253439,35.080253,0.17659023,2.0
bt_20260509_235421,confidence_bin,0.60-0.65,30,10,20,0.3333,278.7166,2280.7183,2002.0017,1.1392,20,0.634394,0.572864,0.427136,30.355998,0.3685095,0.533333
bt_20260509_235421,confidence_bin,0.65-0.70,80,24,56,0.3,73.1294,5678.673,5605.5436,1.013,56,0.679445,0.496945,0.503055,34.337739,0.36145159,0.0
bt_20260509_235421,confidence_bin,0.70-0.75,56,13,43,0.2321,-971.0323,3333.2893,4304.3216,0.7744,43,0.719966,0.61695,0.38305,36.722514,0.35459621,0.892857
bt_20260509_235421,confidence_bin,0.75-0.80,22,6,16,0.2727,14.9139,1616.4849,1601.571,1.0093,16,0.769227,0.525513,0.474487,32.108173,0.53723837,0.181818
bt_20260509_235421,confidence_bin,0.80-0.90,8,1,7,0.125,-275.1231,425.5752,700.6983,0.6074,7,0.82275,0.738022,0.261978,41.278795,0.17470028,1.5
bt_20260509_235421,hour,10,16,2,14,0.125,-1060.766,340.6308,1401.3968,0.2431,14,0.714561,0.680626,0.319374,37.945332,0.16357193,1.25
bt_20260509_235421,hour,11,8,4,4,0.5,583.9188,984.319,400.4002,2.4583,4,0.683393,0.509918,0.490082,29.90454,0.36549324,0.25
bt_20260509_235421,hour,12,5,0,5,0.0,-500.5028,0,500.5028,0.0,5,0.6772,0.465527,0.534473,35.781163,0.08083119,-0.4
bt_20260509_235421,hour,13,8,1,7,0.125,-390.9894,309.6915,700.6809,0.442,7,0.698423,0.590988,0.409012,34.830924,0.44485447,1.0
bt_20260509_235421,hour,14,14,2,12,0.1429,-675.0935,526.095,1201.1885,0.438,12,0.707773,0.561166,0.438834,36.819741,0.21683344,0.571429
bt_20260509_235421,hour,15,29,8,21,0.2759,-441.5255,1660.565,2102.0905,0.79,21,0.693998,0.575688,0.424312,31.930113,0.35476168,0.482759
bt_20260509_235421,hour,16,19,6,13,0.3158,315.0017,1616.3124,1301.3107,1.2421,13,0.7091,0.629953,0.370047,35.421293,0.19710615,0.947368
bt_20260509_235421,hour,17,11,1,10,0.0909,-774.846,226.1548,1001.0008,0.2259,10,0.679283,0.642278,0.357722,25.878824,0.05470096,1.272727
bt_20260509_235421,hour,7,36,13,23,0.3611,968.8628,3271.1577,2302.2949,1.4208,23,0.708591,0.566247,0.433753,32.735047,0.48094097,0.555556
