run_id,source_split,timestamp,exit_timestamp,symbol,side,directional_group,regime,confidence,confidence_bin,session_hour,session,p_bull,p_bull_bin,p_bear,p_bear_bin,adx,adx_bin,atr,atr_entry_pct,atr_entry_pct_bin,ema_stack,same_timestamp_entries,same_timestamp_group_entries,pm_open_positions_seen,exit_reason,pnl,realized_rr
bt_20260501_093529,train,2016-01-05T08:30:00+00:00,2016-01-05T09:00:00+00:00,XAUUSD,buy,risk_off_buy,BIAS_UP,0.866,0.80-0.90,8,london,0.8662109375,0.80-0.90,0.1337890625,<0.50,27.250137329101562,20-30,1.678329348564148,0.0015555415630709266,0.10-0.20%,2,1,1,0,sl_full,-100.0915,-1.000999999989989
bt_20260501_093529,train,2016-01-05T08:45:00+00:00,2016-01-06T09:15:00+00:00,XAUUSD,buy,risk_off_buy,BIAS_UP,0.7911330295517045,0.75-0.80,8,london,0.8916015625,0.80-0.90,0.1083984375,<0.50,27.819517135620117,20-30,1.9158854484558105,0.0017807197733805016,0.10-0.20%,2,1,1,1,be_or_trail,296.5836,2.965861982790391
bt_20260501_093529,train,2016-01-05T09:00:00+00:00,2016-01-06T08:15:00+00:00,XAUUSD,buy,risk_off_buy,BIAS_UP,0.7008854242102992,0.70-0.75,9,london,0.89111328125,0.80-0.90,0.10888671875,<0.50,29.0145263671875,20-30,1.9511007070541382,0.001812894303721598,0.10-0.20%,2,1,1,1,be_or_trail,233.088,2.3306053527269976
bt_20260501_093529,train,2016-01-08T07:00:00+00:00,2016-01-08T09:00:00+00:00,XAUUSD,sell,risk_off_sell,BIAS_DOWN,0.809,0.80-0.90,7,london,0.1910400390625,<0.50,0.8089599609375,0.80-0.90,39.22751998901367,30-40,1.440224289894104,0.00130872395431351,0.10-0.20%,0,1,1,0,sl_full,-100.094,-1.0009999999899895
bt_20260501_093529,train,2016-01-08T07:15:00+00:00,2016-01-08T08:45:00+00:00,XAUUSD,sell,risk_off_sell,BIAS_DOWN,0.7051017471901402,0.70-0.75,7,london,0.2049560546875,<0.50,0.7950439453125,0.75-0.80,39.41386795043945,30-40,1.364194393157959,0.001239827401936426,0.10-0.20%,0,1,1,1,be_or_trail,123.9378,1.23921726842529
bt_20260501_093529,train,2016-01-08T07:30:00+00:00,2016-01-08T08:45:00+00:00,XAUUSD,sell,risk_off_sell,BIAS_DOWN,0.6489679853799066,0.60-0.65,7,london,0.17529296875,<0.50,0.82470703125,0.80-0.90,40.46165466308594,40-60,1.3703018426895142,0.0012446881769866073,0.10-0.20%,0,1,1,2,be_or_trail,113.9929,1.1400737728974615
bt_20260501_093529,train,2016-01-15T13:15:00+00:00,2016-01-15T14:30:00+00:00,USDCHF,sell,usd_long_sell,BIAS_DOWN,0.758,0.75-0.80,13,ny,0.242431640625,<0.50,0.757568359375,0.75-0.80,32.07691192626953,30-40,0.0014198028948158026,0.0014226909574594452,0.10-0.20%,-2,1,1,0,sl_full,-100.1,-1.0009999999899901
bt_20260501_093529,train,2016-01-15T13:30:00+00:00,2016-01-15T14:45:00+00:00,USDCHF,sell,usd_long_sell,BIAS_DOWN,0.7423524055322608,0.70-0.75,13,ny,0.1627197265625,<0.50,0.8372802734375,0.80-0.90,28.305957794189453,20-30,0.0013838291633874178,0.001385658232253993,0.10-0.20%,-2,1,1,1,sl_full,-100.1,-1.00099999998999
bt_20260501_093529,train,2016-01-15T15:30:00+00:00,2016-01-18T03:15:00+00:00,USDCAD,buy,usd_long_buy,BIAS_UP,0.834,0.80-0.90,15,ny,0.83447265625,0.80-0.90,0.16552734375,<0.50,33.889381408691406,30-40,0.0014246499631553888,0.0009808734074312625,0.05-0.10%,2,1,1,0,sl_full,-100.1,-1.0009999999899901
bt_20260501_093529,train,2016-01-18T08:15:00+00:00,2016-01-18T10:45:00+00:00,USDCHF,sell,usd_long_sell,BIAS_DOWN,0.6615540311569714,0.65-0.70,8,london,0.1593017578125,<0.50,0.8406982421875,0.80-0.90,18.78057098388672,<20,0.0007435449515469372,0.0007397654896602629,0.05-0.10%,2,1,1,0,sl_full,-100.1,-1.00099999998999
bt_20260501_093529,train,2016-01-18T12:00:00+00:00,2016-01-18T23:00:00+00:00,USDCAD,buy,usd_long_buy,BIAS_UP,0.7618646551400383,0.75-0.80,12,off_session,0.85888671875,0.80-0.90,0.14111328125,<0.50,15.153895378112793,<20,0.001260991906747222,0.0008690622246669299,0.05-0.10%,2,1,1,0,be_or_trail,140.2556,1.4025563450400154
bt_20260501_093529,train,2016-01-18T12:45:00+00:00,2016-01-18T21:30:00+00:00,EURUSD,sell,usd_short_sell,BIAS_DOWN,0.845,0.80-0.90,12,off_session,0.1551513671875,<0.50,0.8448486328125,0.80-0.90,35.503055572509766,30-40,0.0006274161278270185,0.0005761862554797986,0.05-0.10%,0,1,1,1,sl_full,-100.1,-1.00099999998999
bt_20260501_093529,train,2016-01-18T13:15:00+00:00,2016-01-19T09:30:00+00:00,EURUSD,sell,usd_short_sell,BIAS_DOWN,0.7370308829119578,0.70-0.75,13,ny,0.1689453125,<0.50,0.8310546875,0.80-0.90,29.686433792114258,20-30,0.0006377481040544808,0.0005854434181868328,0.05-0.10%,0,1,1,2,be_or_trail,134.4345,1.3443452159625495
