timestamp,symbol,side,regime,ev,realized_rr,p_bull,p_bear,rr_ratio,pnl,bars_held,session_hour,regime_duration,session_weight,regime_weight,age_weight,expected_variance,exit_reason
2022-08-22T07:00:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899901,0.1466064453125,0.8533935546875,3.53,-100.1015,14,7,,1.0,1.0,1.0,0.6480116248130798,sl_full
2022-08-22T08:15:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899906,0.2474365234375,0.7525634765625,2.31,-100.1051,5,8,,1.0,1.0,1.0,0.6846927404403687,sl_full
2022-08-22T09:15:00+00:00,XAUUSD,sell,BIAS_DOWN,0.0,-1.0009999999899875,0.1339111328125,0.8660888671875,2.36,-100.0764,72,9,,1.0,1.0,1.0,0.6472259759902954,sl_full
2022-08-22T13:00:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,-1.00099999998999,0.1917724609375,0.8082275390625,3.08,-100.1,30,13,,1.0,1.0,1.0,0.6702982783317566,sl_full
2022-08-22T15:00:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,1.287181666039468,0.1873779296875,0.8126220703125,2.51,128.7182,50,15,,1.0,1.0,1.0,0.6566096544265747,be_or_trail
2022-08-22T15:15:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,2.013301888311867,0.1866455078125,0.8133544921875,2.23,201.3302,48,15,,1.0,1.0,1.0,0.6557286381721497,be_or_trail
2022-09-01T12:45:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.88623046875,0.11376953125,3.86,-100.099,200,12,,1.0,1.0,1.0,0.6303139925003052,sl_full
2022-09-01T16:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.90185546875,0.09814453125,3.0,-100.0993,15,16,,1.0,1.0,1.0,0.6147580146789551,sl_full
2022-09-01T17:45:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.8642578125,0.1357421875,2.36,-100.1005,5,17,,1.0,1.0,1.0,0.6305423378944397,sl_full
2022-09-02T08:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.80615234375,0.19384765625,3.06,-100.1016,3,8,,1.0,1.0,1.0,0.6390902400016785,sl_full
2022-09-02T09:00:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.84619140625,0.15380859375,2.69,-100.0984,2,9,,1.0,1.0,1.0,0.63601154088974,sl_full
2022-09-02T09:15:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.8017578125,0.1982421875,2.22,-100.1002,3,9,,1.0,1.0,1.0,0.6497597694396973,sl_full
2022-09-06T07:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,4.9950007869344395,0.916015625,0.083984375,4.0,499.4967,46,7,,1.0,1.0,1.0,0.613469660282135,tp2
2022-09-06T07:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,4.372265879972641,0.9443359375,0.0556640625,4.0,437.2247,68,7,,1.0,1.0,1.0,0.6008038520812988,be_or_trail
2022-09-06T07:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.815160907769873,0.904296875,0.095703125,3.02,281.5151,15,7,,1.0,1.0,1.0,0.6156554222106934,be_or_trail
2022-09-06T08:00:00+00:00,EURJPY,buy,BIAS_UP,0.0,2.3802203021395103,0.8271484375,0.1728515625,2.58,238.0219,43,8,,1.0,1.0,1.0,0.6431923508644104,be_or_trail
2022-09-06T08:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.206285296422483,0.8798828125,0.1201171875,2.4,220.6312,34,8,,1.0,1.0,1.0,0.6244547367095947,be_or_trail
2022-09-07T09:15:00+00:00,EURJPY,buy,BIAS_UP,0.0,2.2719702271904376,0.70458984375,0.29541015625,2.45,227.1956,47,9,,1.0,1.0,1.0,0.6580504775047302,be_or_trail
2022-09-07T12:45:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.7939453125,0.2060546875,2.44,-100.101,45,12,,1.0,1.0,1.0,0.6374488472938538,sl_full
2022-09-23T08:00:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,2.4828537614852784,0.2371826171875,0.7628173828125,2.77,248.2854,32,8,,1.0,1.0,1.0,0.676474392414093,be_or_trail
2022-09-23T08:15:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,2.6317222223637673,0.1424560546875,0.8575439453125,2.76,263.1723,34,8,,1.0,1.0,1.0,0.643481969833374,be_or_trail
2022-09-23T08:30:00+00:00,EURUSD,sell,BIAS_DOWN,0.0,3.0472783389964495,0.132080078125,0.867919921875,2.37,304.7278,34,8,,1.0,1.0,1.0,0.6392055153846741,tp2
2022-10-12T14:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,3.3681432571193666,0.7333984375,0.2666015625,2.58,336.8157,75,14,,1.0,1.0,1.0,0.6650657653808594,tp2
2022-10-14T10:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.335423556954059,0.6728515625,0.3271484375,2.33,233.5431,143,10,,1.0,1.0,1.0,0.6626672744750977,be_or_trail
2022-10-14T12:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.77392578125,0.22607421875,2.38,-100.101,134,12,,1.0,1.0,1.0,0.6563159227371216,sl_full
2022-10-17T08:45:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.5019144285671975,0.8857421875,0.1142578125,2.42,250.1926,80,8,,1.0,1.0,1.0,0.6206080317497253,be_or_trail
2022-10-19T12:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.80419921875,0.19580078125,3.04,-100.1001,23,12,,1.0,1.0,1.0,0.6406480073928833,sl_full
2022-10-21T08:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.73828125,0.26171875,2.61,-100.1006,1,8,,1.0,1.0,1.0,0.6558166742324829,sl_full
2022-10-21T10:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.91796875,0.08203125,3.14,-100.1008,2,10,,1.0,1.0,1.0,0.6138615012168884,sl_full
2022-10-21T10:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.802734375,0.197265625,3.03,-100.0984,1,10,,1.0,1.0,1.0,0.6506351232528687,sl_full
2022-10-21T10:45:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899903,0.80517578125,0.19482421875,2.48,-100.1036,1,10,,1.0,1.0,1.0,0.6530320048332214,sl_full
2022-11-10T15:45:00+00:00,XAUUSD,buy,BIAS_UP,0.0,-1.0009999999899886,0.90673828125,0.09326171875,4.0,-100.0856,12,15,,1.0,1.0,1.0,0.6207209229469299,sl_full
2022-11-15T07:00:00+00:00,EURUSD,buy,BIAS_UP,0.0,-1.00099999998999,0.8818359375,0.1181640625,3.82,-100.1,11,7,,1.0,1.0,1.0,0.6236613392829895,sl_full
2022-11-15T07:15:00+00:00,EURUSD,buy,BIAS_UP,0.0,1.6323273134884786,0.9267578125,0.0732421875,3.22,163.2327,9,7,,1.0,1.0,1.0,0.6055033206939697,be_or_trail
2022-11-15T07:30:00+00:00,EURUSD,buy,BIAS_UP,0.0,1.28384674195444,0.92041015625,0.07958984375,2.52,128.3847,8,7,,1.0,1.0,1.0,0.6088922619819641,be_or_trail
2022-12-01T16:45:00+00:00,XAUUSD,buy,BIAS_UP,0.0,-1.0009999999899908,0.7890625,0.2109375,2.93,-100.1094,6,16,,1.0,1.0,1.0,0.6535882949829102,sl_full
2022-12-02T07:00:00+00:00,USDJPY,sell,BIAS_DOWN,0.0,-1.00099999998999,0.1551513671875,0.8448486328125,3.45,-100.0996,6,7,,1.0,1.0,1.0,0.6387732028961182,sl_full
2022-12-15T15:15:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.87841796875,0.12158203125,3.78,-100.1011,24,15,,1.0,1.0,1.0,0.6251921057701111,sl_full
2022-12-15T15:30:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.8759765625,0.1240234375,2.86,-100.1003,23,15,,1.0,1.0,1.0,0.6258165240287781,sl_full
2022-12-15T15:45:00+00:00,EURJPY,buy,BIAS_UP,0.0,-1.0009999999899897,0.85693359375,0.14306640625,2.34,-100.0988,22,15,,1.0,1.0,1.0,0.6327145099639893,sl_full
2022-12-30T07:00:00+00:00,GBPJPY,sell,BIAS_DOWN,0.0,-1.00099999998999,0.1177978515625,0.8822021484375,3.82,-100.0995,8,7,,1.0,1.0,1.0,0.6220768094062805,sl_full
2022-12-30T07:15:00+00:00,GBPJPY,sell,BIAS_DOWN,0.0,-1.0009999999899901,0.125732421875,0.874267578125,2.85,-100.1017,7,7,,1.0,1.0,1.0,0.6257029175758362,sl_full
2022-12-30T07:30:00+00:00,GBPJPY,sell,BIAS_DOWN,0.0,-1.00099999998999,0.12744140625,0.87255859375,2.38,-100.0993,7,7,,1.0,1.0,1.0,0.6263276934623718,sl_full
2022-12-30T08:45:00+00:00,GBPJPY,sell,BIAS_DOWN,0.0,-1.0009999999899901,0.109130859375,0.890869140625,2.2,-100.1018,6,8,,1.0,1.0,1.0,0.6214551329612732,sl_full
2023-01-18T07:45:00+00:00,GBPUSD,buy,BIAS_UP,0.0,-1.00099999998999,0.82080078125,0.17919921875,3.21,-100.1,18,7,,1.0,1.0,1.0,0.6405614018440247,sl_full
2023-01-18T08:30:00+00:00,GBPUSD,buy,BIAS_UP,0.0,-1.00099999998999,0.82275390625,0.17724609375,2.56,-100.1,11,8,,1.0,1.0,1.0,0.6455116868019104,sl_full
2023-02-15T14:00:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.8330078125,0.1669921875,3.33,-100.0995,13,14,,1.0,1.0,1.0,0.6315706372261047,sl_full
2023-02-15T14:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.82861328125,0.17138671875,2.6,-100.0992,13,14,,1.0,1.0,1.0,0.6329434514045715,sl_full
2023-02-15T14:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.826171875,0.173828125,2.25,-100.0994,11,14,,1.0,1.0,1.0,0.632828950881958,sl_full
2023-02-15T15:30:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.8896484375,0.1103515625,2.2,-100.0998,7,15,,1.0,1.0,1.0,0.6107314229011536,sl_full
2023-02-24T14:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,-1.0009999999899901,0.77490234375,0.22509765625,2.84,-100.1008,16,14,,1.0,1.0,1.0,0.6451343894004822,sl_full
2023-02-27T09:15:00+00:00,USDJPY,buy,BIAS_UP,0.0,2.4013103620990783,0.771484375,0.228515625,2.37,240.1319,67,9,,1.0,1.0,1.0,0.6570505499839783,be_or_trail
2023-02-28T10:30:00+00:00,GBPJPY,buy,BIAS_UP,0.0,-1.00099999998999,0.845703125,0.154296875,3.46,-100.0998,1,10,,1.0,1.0,1.0,0.6345764994621277,sl_full
2023-03-20T12:00:00+00:00,GBPUSD,buy,BIAS_UP,0.0,-1.0009999999899901,0.80615234375,0.19384765625,3.06,-100.1,32,12,,1.0,1.0,1.0,0.6459472179412842,sl_full
