run_id,timestamp,exit_timestamp,trader,symbol,side,size,entry,stop_loss,take_profit,rr_ratio,confidence,pnl,commission,exit_reason,source,source_split,bt_start,bt_end,split_summary_hash,correlation_id
bt_20260510_094113,2016-01-07T07:45:00+00:00,2016-01-07T09:00:00+00:00,ml_trader,GBPJPY,sell,244.27,171.339718,171.749104,170.346958,2.42,0.699,-100.2007,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000000
bt_20260510_094113,2016-01-07T08:00:00+00:00,2016-01-07T13:15:00+00:00,ml_trader,GBPUSD,sell,37266.97,1.457588,1.460272,1.44919,3.13,0.813,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000001
bt_20260510_094113,2016-01-07T08:15:00+00:00,2016-01-07T09:00:00+00:00,ml_trader,GBPJPY,sell,258.01,171.353723,171.74131,170.432427,2.38,0.686,-100.2015,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000002
bt_20260510_094113,2016-01-07T08:15:00+00:00,2016-01-07T09:45:00+00:00,ml_trader,GBPUSD,sell,37115.65,1.456799,1.459493,1.449656,2.65,0.744,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000003
bt_20260510_094113,2016-01-07T08:30:00+00:00,2016-01-07T09:00:00+00:00,ml_trader,GBPJPY,sell,273.91,171.348719,171.713797,170.522546,2.26,0.654,-100.1987,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000004
bt_20260510_094113,2016-01-07T08:30:00+00:00,2016-01-07T09:30:00+00:00,ml_trader,GBPUSD,sell,39279.34,1.456639,1.459185,1.45049,2.42,0.696,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000005
bt_20260510_094113,2016-01-12T09:30:00+00:00,2016-01-12T12:45:00+00:00,ml_trader,GBPUSD,sell,40358.67,1.440492,1.44297,1.433507,2.82,0.771,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000006
bt_20260510_094113,2016-01-12T09:45:00+00:00,2016-01-12T12:30:00+00:00,ml_trader,GBPUSD,sell,40689.4,1.439542,1.442,1.434103,2.21,0.628,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000007
bt_20260510_094113,2016-02-04T12:00:00+00:00,2016-02-05T09:00:00+00:00,ml_trader,XAUUSD,buy,21.37,1152.66054,1147.980446,1170.585299,3.83,0.883,-100.2137,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000008
bt_20260510_094113,2016-02-04T14:30:00+00:00,2016-02-04T19:15:00+00:00,ml_trader,XAUUSD,buy,26.83,1156.91139,1153.184546,1167.346553,2.8,0.768,-100.1913,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000009
bt_20260510_094113,2016-02-04T15:15:00+00:00,2016-02-05T08:30:00+00:00,ml_trader,XAUUSD,buy,29.83,1156.361231,1153.008597,1164.203042,2.34,0.675,-100.2092,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000010
bt_20260510_094113,2016-02-04T17:00:00+00:00,2016-02-04T22:30:00+00:00,ml_trader,EURUSD,buy,68706.22,1.120574,1.119119,1.124677,2.82,0.771,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000011
bt_20260510_094113,2016-02-04T17:15:00+00:00,2016-02-05T00:30:00+00:00,ml_trader,EURUSD,buy,72821.48,1.120254,1.118881,1.123671,2.49,0.717,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000012
bt_20260510_094113,2016-02-04T17:30:00+00:00,2016-02-05T00:30:00+00:00,ml_trader,EURUSD,buy,74628.06,1.120184,1.118844,1.123224,2.27,0.655,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000013
bt_20260510_094113,2016-02-23T07:45:00+00:00,2016-02-23T08:45:00+00:00,ml_trader,EURJPY,sell,449.37,123.218348,123.440881,122.701848,2.32,0.67,-100.1998,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000014
bt_20260510_094113,2016-02-23T08:15:00+00:00,2016-02-23T08:30:00+00:00,ml_trader,EURJPY,sell,445.22,123.170361,123.394966,122.586162,2.6,0.736,-100.199,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000015
bt_20260510_094113,2016-02-23T08:30:00+00:00,2016-02-23T08:45:00+00:00,ml_trader,EURJPY,sell,405.21,123.389319,123.636106,122.780988,2.46,0.71,-100.2007,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000016
bt_20260510_094113,2016-05-24T14:00:00+00:00,2016-05-24T23:15:00+00:00,ml_trader,EURUSD,sell,90019.6,1.114057,1.115168,1.109614,4.0,0.933,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000017
bt_20260510_094113,2016-05-24T14:15:00+00:00,2016-05-24T23:30:00+00:00,ml_trader,EURUSD,sell,91196.32,1.114397,1.115494,1.110874,3.21,0.821,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000018
bt_20260510_094113,2016-05-24T14:30:00+00:00,2016-05-24T23:45:00+00:00,ml_trader,EURUSD,sell,92927.48,1.114667,1.115743,1.111974,2.5,0.721,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000019
bt_20260510_094113,2016-05-24T14:45:00+00:00,2016-05-24T23:15:00+00:00,ml_trader,EURUSD,sell,93959.77,1.114307,1.115371,1.111962,2.2,0.622,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000020
bt_20260510_094113,2016-06-13T09:30:00+00:00,2016-06-13T10:00:00+00:00,ml_trader,XAUUSD,buy,20.91,1283.32656,1278.543402,1298.44134,3.16,0.816,-100.216,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000021
bt_20260510_094113,2016-06-13T09:45:00+00:00,2016-06-14T04:00:00+00:00,ml_trader,XAUUSD,buy,18.83,1281.696229,1276.38627,1294.790589,2.47,0.71,-100.1866,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000022
bt_20260510_094113,2016-07-05T13:45:00+00:00,2016-07-05T21:00:00+00:00,ml_trader,GBPJPY,sell,296.12,132.466498,132.804201,131.115684,4.0,0.914,407.5487,0.408,be_or_trail,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000023
bt_20260510_094113,2016-07-05T14:00:00+00:00,2016-07-05T19:15:00+00:00,ml_trader,GBPJPY,sell,318.87,132.4425,132.756105,131.487888,3.04,0.804,302.1624,0.3025,be_or_trail,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000024
bt_20260510_094113,2016-07-05T14:00:00+00:00,2016-07-05T21:45:00+00:00,ml_trader,GBPUSD,sell,35437.48,1.304279,1.307101,1.292992,4.0,0.937,433.6879,0.4341,be_or_trail,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000025
bt_20260510_094113,2016-07-05T14:30:00+00:00,2016-07-05T15:45:00+00:00,ml_trader,GBPJPY,sell,291.38,132.213557,132.556751,131.452011,2.22,0.632,-100.1998,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000026
bt_20260510_094113,2016-07-05T14:30:00+00:00,2016-07-05T21:45:00+00:00,ml_trader,GBPUSD,sell,35013.35,1.30217,1.305026,1.293744,2.95,0.792,391.7167,0.3921,tp2,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000027
bt_20260510_094113,2016-07-20T17:15:00+00:00,2016-07-21T01:00:00+00:00,ml_trader,USDJPY,buy,410.12,107.228442,106.98461,107.950672,2.96,0.794,-100.2005,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000028
bt_20260510_094113,2016-08-30T12:15:00+00:00,2016-08-30T16:45:00+00:00,ml_trader,GBPJPY,buy,421.3,134.847963,134.610604,135.768919,3.88,0.888,-100.1997,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000029
bt_20260510_094113,2016-08-30T13:15:00+00:00,2016-08-30T14:45:00+00:00,ml_trader,GBPJPY,buy,482.54,134.867972,134.660733,135.555796,3.32,0.832,-100.201,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000030
bt_20260510_094113,2016-08-30T13:45:00+00:00,2016-08-30T16:45:00+00:00,ml_trader,GBPJPY,buy,510.78,134.845964,134.650184,135.340896,2.53,0.724,-100.2007,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000031
bt_20260510_094113,2016-08-30T14:15:00+00:00,2016-08-30T14:45:00+00:00,ml_trader,GBPJPY,buy,556.74,134.840958,134.661342,135.239526,2.22,0.631,-100.1995,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000032
bt_20260510_094113,2016-09-01T10:15:00+00:00,2016-09-01T15:45:00+00:00,ml_trader,GBPJPY,buy,263.71,137.294452,136.91525,138.76196,3.87,0.887,-100.1993,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000033
bt_20260510_094113,2016-09-01T10:30:00+00:00,2016-09-01T16:00:00+00:00,ml_trader,GBPJPY,buy,267.17,137.251444,136.877151,138.31219,2.83,0.773,-100.1999,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000034
bt_20260510_094113,2016-09-01T10:45:00+00:00,2016-09-01T11:45:00+00:00,ml_trader,GBPJPY,buy,271.4,137.320458,136.951998,138.154284,2.26,0.654,-100.2002,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000035
bt_20260510_094113,2016-09-02T14:00:00+00:00,2016-09-05T00:00:00+00:00,ml_trader,GBPJPY,buy,388.46,138.340666,138.083241,139.370368,4.0,0.948,-100.1996,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000036
bt_20260510_094113,2016-09-02T14:15:00+00:00,2016-09-05T00:00:00+00:00,ml_trader,GBPJPY,buy,408.86,138.302649,138.058066,139.125425,3.36,0.836,-100.2002,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000037
bt_20260510_094113,2016-09-02T14:30:00+00:00,2016-09-05T00:00:00+00:00,ml_trader,GBPJPY,buy,415.9,138.205629,137.96519,138.837024,2.63,0.74,-100.1989,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000038
bt_20260510_094113,2016-09-02T14:45:00+00:00,2016-09-05T00:00:00+00:00,ml_trader,GBPJPY,buy,436.93,138.221639,137.99277,138.740714,2.27,0.655,-100.1998,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000039
bt_20260510_094113,2016-10-06T13:00:00+00:00,2016-10-06T19:45:00+00:00,ml_trader,USDJPY,buy,635.3,103.958791,103.801385,104.588416,4.0,0.912,-100.2002,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000040
bt_20260510_094113,2016-10-06T13:15:00+00:00,2016-10-06T19:00:00+00:00,ml_trader,USDJPY,buy,663.15,103.985789,103.834994,104.456875,3.12,0.812,-100.2003,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000041
bt_20260510_094113,2016-11-02T15:30:00+00:00,2016-11-03T04:45:00+00:00,ml_trader,XAUUSD,buy,20.79,1296.739276,1291.928937,1311.747536,3.12,0.812,-100.2071,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000042
bt_20260510_094113,2016-11-02T15:45:00+00:00,2016-11-03T04:45:00+00:00,ml_trader,XAUUSD,buy,21.99,1296.539285,1291.991792,1307.989874,2.52,0.723,-100.1995,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000043
bt_20260510_094113,2016-11-16T07:00:00+00:00,2016-11-16T08:15:00+00:00,ml_trader,GBPJPY,buy,330.72,136.259241,135.956866,137.468742,4.0,0.947,-100.2016,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000044
bt_20260510_094113,2016-11-21T16:00:00+00:00,2016-11-21T19:15:00+00:00,ml_trader,GBPJPY,buy,301.69,138.224646,137.893175,139.550529,4.0,0.923,-100.2015,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000045
bt_20260510_094113,2016-11-21T16:15:00+00:00,2016-11-21T17:15:00+00:00,ml_trader,GBPJPY,buy,261.09,138.501694,138.118679,139.65074,3.0,0.8,-100.2016,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000046
bt_20260510_094113,2016-11-21T16:30:00+00:00,2016-11-21T19:15:00+00:00,ml_trader,GBPJPY,buy,250.49,138.377676,137.978462,139.349763,2.44,0.702,-100.1993,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000047
bt_20260510_094113,2016-11-21T17:15:00+00:00,2016-11-22T05:15:00+00:00,ml_trader,GBPJPY,buy,258.77,138.251644,137.865201,139.112251,2.23,0.636,-100.1998,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000048
bt_20260510_094113,2016-11-23T14:45:00+00:00,2016-11-24T22:45:00+00:00,ml_trader,USDJPY,buy,375.35,112.603517,112.337096,113.669203,4.0,0.94,378.2086,0.3786,be_or_trail,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000049
bt_20260510_094113,2016-11-23T15:00:00+00:00,2016-11-24T19:00:00+00:00,ml_trader,USDJPY,buy,388.37,112.5235,112.266015,113.380409,3.33,0.833,333.0258,0.3334,be_or_trail,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000050
bt_20260510_094113,2016-11-24T12:15:00+00:00,2016-11-24T17:00:00+00:00,ml_trader,EURJPY,buy,611.93,119.680929,119.517511,120.097644,2.55,0.728,-100.2003,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000051
bt_20260510_094113,2016-11-24T12:30:00+00:00,2016-11-24T16:45:00+00:00,ml_trader,GBPJPY,buy,400.69,141.259249,141.009681,141.897145,2.56,0.729,-100.1995,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000052
bt_20260510_094113,2016-11-24T12:45:00+00:00,2016-11-24T17:00:00+00:00,ml_trader,EURJPY,buy,595.82,119.684935,119.5171,120.125167,2.62,0.74,-100.1997,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000053
bt_20260510_094113,2016-11-24T13:00:00+00:00,2016-11-24T17:00:00+00:00,ml_trader,EURJPY,buy,606.61,119.700937,119.536086,120.088338,2.35,0.678,-100.2006,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000054
bt_20260510_094113,2016-11-24T16:30:00+00:00,2016-11-24T17:30:00+00:00,ml_trader,GBPJPY,buy,674.74,141.114216,140.966009,141.441307,2.21,0.624,-100.2008,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000055
bt_20260510_094113,2016-11-30T14:45:00+00:00,2016-12-01T00:00:00+00:00,ml_trader,EURJPY,buy,485.51,121.131224,120.925257,121.955091,4.0,0.91,-100.1991,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000056
bt_20260510_094113,2016-12-01T08:45:00+00:00,2016-12-01T10:00:00+00:00,ml_trader,GBPJPY,buy,205.54,145.116023,144.629497,146.687503,3.23,0.823,-100.2007,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000057
bt_20260510_094113,2016-12-01T09:00:00+00:00,2016-12-01T10:00:00+00:00,ml_trader,GBPJPY,buy,220.4,145.115016,144.661291,146.31784,2.65,0.744,-100.2011,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000058
bt_20260510_094113,2016-12-01T09:45:00+00:00,2016-12-01T11:00:00+00:00,ml_trader,GBPJPY,buy,215.63,144.701939,144.238172,145.859502,2.5,0.719,-100.2022,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000059
bt_20260510_094113,2016-12-01T10:00:00+00:00,2016-12-01T11:00:00+00:00,ml_trader,GBPJPY,buy,208.96,144.562903,144.084342,145.63536,2.24,0.645,-100.2003,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000060
bt_20260510_094113,2016-12-05T07:45:00+00:00,2016-12-05T11:30:00+00:00,ml_trader,GBPJPY,buy,267.56,145.369064,144.995322,146.523929,3.09,0.809,-100.1987,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000061
bt_20260510_094113,2016-12-05T08:00:00+00:00,2016-12-05T11:30:00+00:00,ml_trader,GBPJPY,buy,265.83,145.33706,144.960881,146.247791,2.42,0.698,-100.2,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000062
bt_20260510_094113,2016-12-05T08:15:00+00:00,2016-12-05T11:30:00+00:00,ml_trader,GBPJPY,buy,273.29,145.408074,145.042162,146.261013,2.33,0.673,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000063
bt_20260510_094113,2016-12-05T08:30:00+00:00,2016-12-05T11:30:00+00:00,ml_trader,GBPJPY,buy,288.19,145.400076,145.053078,146.165208,2.21,0.623,-100.2016,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000064
bt_20260510_094113,2016-12-15T08:30:00+00:00,2016-12-19T00:00:00+00:00,ml_trader,USDJPY,buy,251.78,117.71354,117.316368,119.222794,3.8,0.88,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000065
bt_20260510_094113,2016-12-15T08:45:00+00:00,2016-12-19T00:00:00+00:00,ml_trader,USDJPY,buy,262.63,117.744545,117.363785,118.84875,2.9,0.784,-100.1992,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000066
bt_20260510_094113,2016-12-20T10:15:00+00:00,2016-12-20T11:45:00+00:00,ml_trader,EURUSD,sell,56760.69,1.037802,1.039564,1.032748,2.87,0.779,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000067
bt_20260510_094113,2016-12-20T10:30:00+00:00,2016-12-20T11:45:00+00:00,ml_trader,EURUSD,sell,58256.44,1.037752,1.039469,1.033775,2.32,0.669,-100.2001,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000068
bt_20260510_094113,2017-01-05T15:30:00+00:00,2017-01-05T20:15:00+00:00,ml_trader,XAUUSD,buy,32.15,1180.966126,1177.855392,1193.409065,4.0,0.936,-100.2102,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000069
bt_20260510_094113,2017-01-05T15:45:00+00:00,2017-01-05T19:30:00+00:00,ml_trader,XAUUSD,buy,34.03,1181.266235,1178.328052,1190.835897,3.26,0.826,-100.1865,0.1001,sl_full,backtest_train,train,2016-01-04,2023-08-04,2886f4ec73486b28db23f14b1be5e8c9e51f8272018bea56d83ba240088dfbb0,bt_20260510_094113_000070
