run_id,source_split,timestamp,exit_timestamp,symbol,side,directional_group,regime,confidence,confidence_bin,session_hour,session,p_bull,p_bull_bin,p_bear,p_bear_bin,adx,adx_bin,atr,atr_entry_pct,atr_entry_pct_bin,ema_stack,same_timestamp_entries,same_timestamp_group_entries,pm_open_positions_seen,exit_reason,pnl,realized_rr
bt_20260510_094113,train,2016-01-07T07:45:00+00:00,2016-01-07T09:00:00+00:00,GBPJPY,sell,gbp_cross_sell,BIAS_DOWN,0.699,0.65-0.70,7,london,0.300537109375,<0.50,0.699462890625,0.65-0.70,45.83775329589844,40-60,0.2500738501548767,0.0014595206124646282,0.10-0.20%,-2,1,1,0,sl_full,-100.1006,-1.0009999999899901
bt_20260510_094113,train,2016-01-07T08:00:00+00:00,2016-01-07T13:15:00+00:00,GBPUSD,sell,usd_short_sell,BIAS_DOWN,0.813,0.80-0.90,8,london,0.187255859375,<0.50,0.812744140625,0.80-0.90,34.15522003173828,30-40,0.0015945102786645293,0.0010939375726642434,0.10-0.20%,-2,1,1,1,sl_full,-100.1,-1.00099999998999
bt_20260510_094113,train,2016-01-07T08:15:00+00:00,2016-01-07T09:00:00+00:00,GBPJPY,sell,gbp_cross_sell,BIAS_DOWN,0.6855894975823628,0.65-0.70,8,london,0.2265625,<0.50,0.7734375,0.75-0.80,36.9178352355957,30-40,0.23553991317749023,0.0013745829915670419,0.10-0.20%,-2,2,1,2,sl_full,-100.1014,-1.0009999999899901
bt_20260510_094113,train,2016-01-07T08:15:00+00:00,2016-01-07T09:45:00+00:00,GBPUSD,sell,usd_short_sell,BIAS_DOWN,0.7441262464056951,0.70-0.75,8,london,0.1614990234375,<0.50,0.8385009765625,0.80-0.90,33.072906494140625,30-40,0.0016019088216125965,0.0010996086773896719,0.10-0.20%,-2,2,1,3,sl_full,-100.1,-1.00099999998999
bt_20260510_094113,train,2016-01-07T08:30:00+00:00,2016-01-07T09:00:00+00:00,GBPJPY,sell,gbp_cross_sell,BIAS_DOWN,0.653687752546306,0.65-0.70,8,london,0.169189453125,<0.50,0.830810546875,0.80-0.90,34.098819732666016,30-40,0.22053459286689758,0.0012870513077305095,0.10-0.20%,-2,2,1,4,sl_full,-100.0986,-1.00099999998999
bt_20260510_094113,train,2016-01-07T08:30:00+00:00,2016-01-07T09:30:00+00:00,GBPUSD,sell,usd_short_sell,BIAS_DOWN,0.6961656570438999,0.65-0.70,8,london,0.11517333984375,<0.50,0.88482666015625,0.80-0.90,31.454421997070312,30-40,0.0015029876958578825,0.0010318189310171446,0.10-0.20%,-2,2,1,5,sl_full,-100.1,-1.00099999998999
bt_20260510_094113,train,2016-01-12T09:30:00+00:00,2016-01-12T12:45:00+00:00,GBPUSD,sell,usd_short_sell,BIAS_DOWN,0.771,0.75-0.80,9,london,0.2288818359375,<0.50,0.7711181640625,0.75-0.80,52.71490478515625,40-60,0.001459750928916037,0.0010133696882148855,0.10-0.20%,-2,1,1,0,sl_full,-100.1,-1.0009999999899901
bt_20260510_094113,train,2016-01-12T09:45:00+00:00,2016-01-12T12:30:00+00:00,GBPUSD,sell,usd_short_sell,BIAS_DOWN,0.6279396691957475,0.60-0.65,9,london,0.2919921875,<0.50,0.7080078125,0.70-0.75,53.88098907470703,40-60,0.0014464508276432753,0.0010047993234259753,0.10-0.20%,-2,1,1,1,sl_full,-100.1,-1.00099999998999
bt_20260510_094113,train,2016-02-04T12:00:00+00:00,2016-02-05T09:00:00+00:00,XAUUSD,buy,risk_off_buy,BIAS_UP,0.883,0.80-0.90,12,off_session,0.8828125,0.80-0.90,0.1171875,<0.50,31.09908103942871,30-40,2.224803924560547,0.0019301466887732158,0.10-0.20%,2,1,1,0,sl_full,-100.1136,-1.0009999999899912
bt_20260510_094113,train,2016-02-04T14:30:00+00:00,2016-02-04T19:15:00+00:00,XAUUSD,buy,risk_off_buy,BIAS_UP,0.7680730981970584,0.75-0.80,14,ny,0.86572265625,0.80-0.90,0.13427734375,<0.50,27.81341552734375,20-30,1.7477540969848633,0.0015107069669223875,0.10-0.20%,2,1,1,1,sl_full,-100.0912,-1.000999999989989
