run_id,dimension,bucket,trades,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,sl_full,avg_confidence,avg_p_bull,avg_p_bear,avg_adx,avg_atr,avg_ema_stack
bt_20260427_074402,symbol,AUDUSD,10,2,8,0.2,-340.2914,406.8688,747.1602,0.5446,8,0.737735,0.562366,0.437634,39.221042,0.000718,-0.4
bt_20260427_074402,symbol,EURGBP,13,1,12,0.0769,-731.1277,324.9919,1056.1196,0.3077,12,0.746723,0.537673,0.462327,32.595847,0.0006303,0.461538
bt_20260427_074402,symbol,EURJPY,12,5,7,0.4167,788.3364,1262.8322,474.4958,2.6614,7,0.692713,0.456502,0.543498,32.146624,0.13677498,1.333333
bt_20260427_074402,symbol,EURUSD,9,3,6,0.3333,-82.0698,505.6845,587.7543,0.8604,6,0.737,0.378248,0.621752,33.093563,0.00098648,-0.444444
bt_20260427_074402,symbol,GBPJPY,7,2,5,0.2857,-119.3132,358.2943,477.6075,0.7502,5,0.646903,0.418318,0.581682,31.59411,0.17381638,0.0
bt_20260427_074402,symbol,GBPUSD,3,1,2,0.3333,186.6245,318.5538,131.9293,2.4146,2,0.708137,0.610677,0.389323,27.144819,0.0011855,-0.666667
bt_20260427_074402,symbol,NZDUSD,2,1,1,0.5,-26.7943,75.9736,102.7679,0.7393,1,0.83,0.830078,0.169922,45.646091,0.00062133,-1.0
bt_20260427_074402,symbol,USDCAD,6,4,2,0.6667,478.7127,692.7935,214.0808,3.2361,2,0.737378,0.64268,0.35732,30.018834,0.00081197,-0.333333
bt_20260427_074402,symbol,USDCHF,3,2,1,0.6667,258.1337,367.8296,109.6959,3.3532,1,0.61,0.482829,0.517171,39.266493,0.00083848,-0.666667
bt_20260427_074402,symbol,USDJPY,3,0,3,0.0,-249.1672,0,249.1672,0.0,3,0.746,0.671061,0.328939,20.704237,0.10533511,0.666667
bt_20260427_074402,symbol,XAUUSD,2,1,1,0.5,149.2234,256.1956,106.9722,2.395,1,0.8275,0.827637,0.172363,34.611323,1.89597976,-1.0
bt_20260427_074402,side,buy,36,9,27,0.25,-651.1205,1617.9942,2269.1147,0.7131,27,0.738964,0.753445,0.246555,31.238811,0.13957416,-0.166667
bt_20260427_074402,side,sell,34,13,21,0.3824,963.3876,2952.0236,1988.636,1.4844,21,0.702576,0.287208,0.712792,35.23806,0.05816907,0.352941
bt_20260427_074402,regime,BIAS_DOWN,20,6,14,0.3,-29.5882,1213.1575,1242.7457,0.9762,14,0.703004,0.292789,0.707211,32.863843,0.05623574,0.1
bt_20260427_074402,regime,BIAS_NEUTRAL,37,13,24,0.3514,812.9478,2896.208,2083.2602,1.3902,24,0.714943,0.564008,0.435992,32.75217,0.04912743,0.378378
bt_20260427_074402,regime,BIAS_UP,13,3,10,0.2308,-471.0925,460.6523,931.7448,0.4944,10,0.767486,0.781926,0.218074,34.891085,0.31230679,-0.769231
bt_20260427_074402,confidence_bin,0.55-0.60,4,1,3,0.25,-6.3732,263.5395,269.9127,0.9764,3,0.585898,0.474548,0.525452,30.365938,0.10223619,-0.5
bt_20260427_074402,confidence_bin,0.60-0.65,13,3,10,0.2308,-512.8938,409.7743,922.6681,0.4441,10,0.624647,0.452655,0.547345,35.416099,0.07366332,0.923077
bt_20260427_074402,confidence_bin,0.65-0.70,13,6,7,0.4615,686.2963,1318.217,631.9207,2.086,7,0.675461,0.511662,0.488338,29.462852,0.04663764,-0.307692
bt_20260427_074402,confidence_bin,0.70-0.75,14,4,10,0.2857,-181.8776,574.3942,756.2718,0.7595,10,0.721645,0.537388,0.462612,29.540458,0.05388356,0.142857
bt_20260427_074402,confidence_bin,0.75-0.80,11,2,9,0.1818,-509.2588,350.968,860.2268,0.408,9,0.769116,0.628673,0.371327,39.663926,0.17260467,0.0
bt_20260427_074402,confidence_bin,0.80-0.90,13,5,8,0.3846,867.3728,1577.1512,709.7784,2.222,8,0.836231,0.4773,0.5227,34.342094,0.02831122,0.153846
bt_20260427_074402,confidence_bin,0.90-1.00,2,1,1,0.5,-30.9986,75.9736,106.9722,0.7102,1,0.9055,0.905518,0.094482,30.742156,1.00424678,-2.0
bt_20260427_074402,hour,7,64,19,45,0.2969,-16.0235,3924.903,3940.9265,0.9959,45,0.725255,0.527419,0.472581,32.463392,0.07331578,0.0
bt_20260427_074402,hour,8,5,3,2,0.6,431.0585,645.1148,214.0563,3.0138,2,0.664,0.475977,0.524023,38.282275,0.46191652,1.2
bt_20260427_074402,hour,9,1,0,1,0.0,-102.7679,0,102.7679,0.0,1,0.754,0.754395,0.245605,53.622814,0.00062525,0.0
bt_20260427_074402,session,london,70,22,48,0.3143,312.2671,4570.0178,4257.7507,1.0733,48,0.72129,0.526987,0.473013,33.181304,0.10003454,0.085714
bt_20260427_074402,p_bull_bin,0.60-0.65,3,1,2,0.3333,-112.0119,106.9943,219.0062,0.4885,2,0.615333,0.61556,0.38444,38.01833,0.05764269,0.666667
bt_20260427_074402,p_bull_bin,0.65-0.70,7,2,5,0.2857,203.6148,542.3068,338.692,1.6012,5,0.655429,0.677246,0.322754,23.939966,0.05862238,0.285714
bt_20260427_074402,p_bull_bin,0.70-0.75,7,2,5,0.2857,-200.8658,95.158,296.0238,0.3215,5,0.718429,0.718541,0.281459,24.893205,0.05962108,0.0
bt_20260427_074402,p_bull_bin,0.75-0.80,9,2,7,0.2222,-311.6098,384.6787,696.2885,0.5525,7,0.75307,0.772407,0.227593,34.167032,0.21077349,0.0
bt_20260427_074402,p_bull_bin,0.80-0.90,8,1,7,0.125,-199.2492,412.8828,612.132,0.6745,7,0.818886,0.843018,0.156982,37.465303,0.0148228,-0.75
